Date,Day,Open,High,Low,Close,Adj Open,Adj High,Adj Close
3/26/04,Fri,0.00,0.00,0.00,0.00,,,1.94
3/29/04,Mon,0.00,0.00,0.00,0.00,,,1.99
3/30/04,Tues,0.00,0.00,0.00,0.00,,,2.01
3/31/04,Wed,0.00,0.00,0.00,0.00,,,2.00
4/1/04,Thurs,0.00,0.00,0.00,0.00,,,2.01
4/2/04,Fri,0.00,0.00,0.00,0.00,,,2.08
4/5/04,Mon,0.00,0.00,0.00,0.00,,,2.12
4/6/04,Tues,0.00,0.00,0.00,0.00,2.12,2.10,2.10
4/7/04,Wed,0.00,0.00,0.00,0.00,2.10,2.06,2.06
4/8/04,Thurs,0.00,0.00,0.00,0.00,2.06,2.07,2.07
4/12/04,Mon,0.00,0.00,0.00,0.00,2.07,2.09,2.09
4/13/04,Tues,0.00,0.00,0.00,0.00,2.09,2.04,2.04
4/14/04,Wed,0.00,0.00,0.00,0.00,2.04,2.02,2.02
4/15/04,Thurs,0.00,0.00,0.00,0.00,2.02,2.03,2.03
4/16/04,Fri,0.00,0.00,0.00,0.00,2.03,2.04,2.04
4/19/04,Mon,0.00,0.00,0.00,0.00,2.04,2.01,2.01
4/20/04,Tues,0.00,0.00,0.00,0.00,2.01,1.99,1.99
4/21/04,Wed,0.00,0.00,0.00,0.00,1.99,2.11,2.11
4/22/04,Thurs,0.00,0.00,0.00,0.00,2.11,2.26,2.26
4/23/04,Fri,0.00,0.00,0.00,0.00,2.26,2.26,2.26
4/26/04,Mon,0.00,0.00,0.00,0.00,2.26,2.28,2.28
4/27/04,Tues,0.00,0.00,0.00,0.00,2.28,2.32,2.32
4/28/04,Wed,0.00,0.00,0.00,0.00,2.32,2.25,2.25
4/29/04,Thurs,0.00,0.00,0.00,0.00,2.25,2.20,2.20
4/30/04,Fri,0.00,0.00,0.00,0.00,2.20,2.15,2.15
5/3/04,Mon,0.00,0.00,0.00,0.00,2.15,2.22,2.22
5/4/04,Tues,0.00,0.00,0.00,0.00,2.22,2.25,2.25
5/5/04,Wed,0.00,0.00,0.00,0.00,2.25,2.31,2.31
5/6/04,Thurs,0.00,0.00,0.00,0.00,2.31,2.22,2.22
5/7/04,Fri,0.00,0.00,0.00,0.00,2.22,2.15,2.15
5/10/04,Mon,0.00,0.00,0.00,0.00,2.15,2.06,2.06
5/11/04,Tues,0.00,0.00,0.00,0.00,2.06,2.13,2.13
5/12/04,Wed,0.00,0.00,0.00,0.00,2.13,2.16,2.16
5/13/04,Thurs,0.00,0.00,0.00,0.00,2.16,2.16,2.16
5/14/04,Fri,0.00,0.00,0.00,0.00,2.16,2.15,2.15
5/17/04,Mon,0.00,0.00,0.00,0.00,2.15,2.08,2.08
5/18/04,Tues,0.00,0.00,0.00,0.00,2.08,2.10,2.10
5/19/04,Wed,0.00,0.00,0.00,0.00,2.10,2.19,2.19
5/20/04,Thurs,0.00,0.00,0.00,0.00,2.19,2.17,2.17
5/21/04,Fri,0.00,0.00,0.00,0.00,2.17,2.19,2.19
5/24/04,Mon,0.00,0.00,0.00,0.00,2.19,2.24,2.24
5/25/04,Tues,0.00,0.00,0.00,0.00,2.24,2.39,2.39
5/26/04,Wed,0.00,0.00,0.00,0.00,2.39,2.37,2.37
